 Algoritmo,Tamano_N,Caso,Tiempo_ms
NaivOnArray,64,Caso 64x64,4
NaivLoopUnrollingTwo,64,Caso 64x64,6
NaivLoopUnrollingFour,64,Caso 64x64,7
StrassenNaiv,64,Caso 64x64,1
StrassenWinograd,64,Caso 64x64,0
WinogradOriginal,64,Caso 64x64,6
WinogradScaled,64,Caso 64x64,8
RowByColumn_III_3_SequentialBlock,64,Caso 64x64,6
RowByColumn_III_4_ParallelBlock,64,Caso 64x64,19
RowByColumn_III_5_EnhancedParallelBlock,64,Caso 64x64,15
RowByRow_IV_3_SequentialBlock,64,Caso 64x64,7
RowByRow_IV_4_ParallelBlock,64,Caso 64x64,10
RowByRow_IV_5_EnhancedParallelBlock,64,Caso 64x64,13
ColumnByColumn_V_3_SequentialBlock,64,Caso 64x64,8
ColumnByColumn_V_4_ParallelBlock,64,Caso 64x64,9
NaivOnArray,128,Caso 128x128,3
NaivLoopUnrollingTwo,128,Caso 128x128,12
NaivLoopUnrollingFour,128,Caso 128x128,6
StrassenNaiv,128,Caso 128x128,6
StrassenWinograd,128,Caso 128x128,6
WinogradOriginal,128,Caso 128x128,8
WinogradScaled,128,Caso 128x128,7
RowByColumn_III_3_SequentialBlock,128,Caso 128x128,32
RowByColumn_III_4_ParallelBlock,128,Caso 128x128,29
RowByColumn_III_5_EnhancedParallelBlock,128,Caso 128x128,30
RowByRow_IV_3_SequentialBlock,128,Caso 128x128,32
RowByRow_IV_4_ParallelBlock,128,Caso 128x128,33
RowByRow_IV_5_EnhancedParallelBlock,128,Caso 128x128,23
ColumnByColumn_V_3_SequentialBlock,128,Caso 128x128,34
ColumnByColumn_V_4_ParallelBlock,128,Caso 128x128,31
NaivOnArray,512,Caso 512x512,287
NaivLoopUnrollingTwo,512,Caso 512x512,305
NaivLoopUnrollingFour,512,Caso 512x512,294
StrassenNaiv,512,Caso 512x512,307
StrassenWinograd,512,Caso 512x512,194
WinogradOriginal,512,Caso 512x512,295
WinogradScaled,512,Caso 512x512,272
RowByColumn_III_3_SequentialBlock,512,Caso 512x512,199
RowByColumn_III_4_ParallelBlock,512,Caso 512x512,126
RowByColumn_III_5_EnhancedParallelBlock,512,Caso 512x512,143
RowByRow_IV_3_SequentialBlock,512,Caso 512x512,103
RowByRow_IV_4_ParallelBlock,512,Caso 512x512,142
RowByRow_IV_5_EnhancedParallelBlock,512,Caso 512x512,105
ColumnByColumn_V_3_SequentialBlock,512,Caso 512x512,277
ColumnByColumn_V_4_ParallelBlock,512,Caso 512x512,155
NaivOnArray,1024,Caso 1024x1024,2383
NaivLoopUnrollingTwo,1024,Caso 1024x1024,2498
NaivLoopUnrollingFour,1024,Caso 1024x1024,2259
StrassenNaiv,1024,Caso 1024x1024,656
StrassenWinograd,1024,Caso 1024x1024,692
WinogradOriginal,1024,Caso 1024x1024,2217
WinogradScaled,1024,Caso 1024x1024,2149
RowByColumn_III_3_SequentialBlock,1024,Caso 1024x1024,1200
RowByColumn_III_4_ParallelBlock,1024,Caso 1024x1024,284
RowByColumn_III_5_EnhancedParallelBlock,1024,Caso 1024x1024,616
RowByRow_IV_3_SequentialBlock,1024,Caso 1024x1024,395
RowByRow_IV_4_ParallelBlock,1024,Caso 1024x1024,100
RowByRow_IV_5_EnhancedParallelBlock,1024,Caso 1024x1024,209
ColumnByColumn_V_3_SequentialBlock,1024,Caso 1024x1024,2409
ColumnByColumn_V_4_ParallelBlock,1024,Caso 1024x1024,502
